Seq No.,Location,AccX,AccY,AccZ,Classs
1,Kidnapping,1.072999954,-1.991999984,10.42000008,1
2,Kidnapping,-0.458999991,-3.523999929,9.80700016,1
3,Kidnapping,-0.152999997,-2.911000013,8.581000328,1
4,Kidnapping,-1.072000027,-3.523999929,9.347000122,1
5,Kidnapping,-1.072000027,-2.757999897,8.887000084,1
6,Kidnapping,-0.305999994,-2.298000097,9.654000282,1
7,Kidnapping,-1.072000027,-2.604000092,10.42000008,1
8,Kidnapping,1.072999954,-6.742000103,11.33899975,1
9,Kidnapping,-3.217000008,3.217000008,5.669000149,1
10,Kidnapping,-3.523000002,-5.822000027,13.94400024,1
11,Kidnapping,-5.209000111,-2.604000092,8.12100029,1
12,Kidnapping,0.612999976,-3.523999929,11.95199966,1
13,Kidnapping,0.612999976,-3.677000046,9.041000366,1
14,Kidnapping,-0.152999997,-5.056000233,11.95199966,1
15,Kidnapping,1.991999984,-1.991999984,8.12100029,1
16,Kidnapping,0,0.91900003,5.669000149,1
17,Kidnapping,1.68599999,1.838000059,5.975999832,1
18,Kidnapping,3.065000057,3.371000051,5.210000038,1
19,Kidnapping,9.80700016,5.822000027,7.507999897,1
20,Kidnapping,6.589000225,4.902999878,1.072000027,1
21,Kidnapping,3.065000057,6.129000187,4.137000084,1
22,Kidnapping,7.507999897,2.911000013,7.815000057,1
23,Kidnapping,6.129000187,3.983999968,4.75,1
24,Kidnapping,6.742000103,3.063999891,8.734000206,1
25,Kidnapping,7.507999897,3.217000008,5.362999916,1
26,Kidnapping,5.975999832,3.063999891,4.75,1
27,Kidnapping,5.515999794,3.983999968,6.282000065,1
28,Kidnapping,4.597000122,3.677000046,5.515999794,1
29,Kidnapping,3.677999973,0.765999973,6.742000103,1
30,Kidnapping,0,-0.458999991,10.57299995,1
31,Kidnapping,1.378999949,0.458999991,10.42000008,1
32,Kidnapping,0,-1.072000027,7.048999786,1
33,Kidnapping,0.612999976,-0.152999997,9.960000038,1
34,Kidnapping,-1.991000056,-1.684999943,8.274000168,1
35,Kidnapping,-2.298000097,-3.217000008,8.274000168,1
36,Kidnapping,-3.063999891,-3.983999968,7.815000057,1
37,Kidnapping,-4.44299984,-3.983999968,6.282000065,1
38,Kidnapping,-3.829999924,-4.44299984,5.822999954,1
39,Kidnapping,-7.201000214,-5.056000233,5.056000233,1
40,Kidnapping,-7.660999775,-5.669000149,3.371000051,1
41,Kidnapping,-8.427000046,-6.129000187,2.757999897,1
42,Kidnapping,-8.274000168,-5.975999832,2.298000097,1
43,Kidnapping,-8.274000168,-6.129000187,0,1
44,Kidnapping,-9.5,-6.129000187,0.91900003,1
45,Kidnapping,-7.047999859,-5.669000149,0.612999976,1
46,Kidnapping,-7.507999897,-5.669000149,0,1
47,Kidnapping,-7.507999897,-5.669000149,0.91900003,1
48,Kidnapping,-7.354000092,-5.209000111,-2.450999975,1
49,Kidnapping,-4.596000195,-7.355000019,-2.450999975,1
50,Kidnapping,-5.056000233,-8.274000168,-3.829999924,1
1,Kidnapping,0.152999997,2.911000013,9.347000122,1
2,Kidnapping,-0.305999994,3.677000046,9.194000244,1
3,Kidnapping,0.612999976,2.911000013,9.654000282,1
4,Kidnapping,0.305999994,1.531999946,9.347000122,1
5,Kidnapping,-0.458999991,0.458999991,10.87899971,1
6,Kidnapping,0,0,9.960000038,1
7,Kidnapping,-0.764999986,-0.305999994,9.194000244,1
8,Kidnapping,-0.764999986,-1.072000027,8.887000084,1
9,Kidnapping,-1.072000027,-1.991999984,9.960000038,1
10,Kidnapping,-1.378000021,-2.757999897,9.041000366,1
11,Kidnapping,-1.225000024,-4.137000084,16.8560009,1
12,Kidnapping,0.305999994,-2.450999975,8.12100029,1
13,Kidnapping,0.460000008,-3.217000008,-0.91900003,1
14,Kidnapping,-2.450999975,-2.911000013,6.589000225,1
15,Kidnapping,-1.072000027,-1.378999949,10.87899971,1
16,Kidnapping,-2.450999975,-1.991999984,11.03299999,1
17,Kidnapping,1.838999987,1.072000027,8.887000084,1
18,Kidnapping,-0.764999986,0.765999973,12.56499958,1
19,Kidnapping,13.48499966,2.757999897,5.515999794,1
20,Kidnapping,-1.991000056,-0.458999991,10.26599979,1
21,Kidnapping,4.443999767,1.225000024,8.581000328,1
22,Kidnapping,6.282999992,1.072000027,5.056000233,1
23,Kidnapping,2.911000013,0.91900003,7.815000057,1
24,Kidnapping,-0.917999983,-0.611999989,9.347000122,1
25,Kidnapping,-1.531000018,-3.063999891,8.734000206,1
26,Kidnapping,-1.684999943,-1.838000059,8.12100029,1
27,Kidnapping,-2.450999975,-2.298000097,11.03299999,1
28,Kidnapping,1.072999954,-6.894999981,8.42800045,1
29,Kidnapping,3.83100009,-5.362999916,7.355000019,1
30,Kidnapping,3.83100009,-6.434999943,4.902999878,1
31,Kidnapping,6.43599987,-4.597000122,3.063999891,1
32,Kidnapping,8.734000206,-5.822000027,2.450999975,1
33,Kidnapping,7.815000057,-3.677000046,3.523999929,1
34,Kidnapping,8.274999619,-2.911000013,3.063999891,1
35,Kidnapping,4.902999878,-5.209000111,5.056000233,1
36,Kidnapping,8.12100029,-3.371000051,7.355000019,1
37,Kidnapping,5.822999954,-3.829999924,7.507999897,1
38,Kidnapping,-3.523000002,-6.129000187,8.887000084,1
39,Kidnapping,-0.917999983,-7.355000019,2.144999981,1
40,Kidnapping,3.677999973,-9.5,4.75,1
41,Kidnapping,2.144999981,-6.129000187,6.894999981,1
42,Kidnapping,0.305999994,-6.129000187,4.902999878,1
43,Kidnapping,-1.838000059,-6.282000065,6.129000187,1
